feature,mean_abs_shap
ctx_Seated leg extension,0.01005034
s5_gyro_z_rms,0.009865502
s4_emg_mav_norm_ema5,0.009855411
s2_acc_z_rms_norm_ema5,0.00976257
s4_acc_z_rms_norm,0.009660993
s2_acc_z_rms_norm_lag3,0.0095754005
s5_acc_z_rms_norm_absd1,0.009518032
ctx_Squat,0.009499774
s6_emg_mav_norm_absd1,0.009455146
s1_gyro_peak_angular_vel_norm_lag3,0.009400278
sym_ratio_emg_37_rm5,0.009330808
s4_emg_mav_norm_rs5,0.00932261
loadshare_emg_2,0.009163294
s5_gyro_peak_angular_vel_norm_lag1,0.008947115
s8_emg_mav_norm_delta1,0.00894677
s7_emg_mav_norm_ema5,0.008928197
loadshare_gyro_5,0.008894753
s3_acc_z_rms_norm_absd1,0.008846806
sym_ratio_gyro_15,0.008760156
sym_ratio_emg_37_rm3,0.0087495595
s7_acc_z_rms_norm_lag1,0.008600225
ctrl_ratio_2,0.008519678
s5_acc_z_rms_norm_delta1,0.008512545
s7_gyro_y_rms,0.008495454
s4_emg_mav_norm,0.008492445
loadshare_gyro_2,0.008478481
sym_ratio_emg_37_symdelta,0.008443901
s2_gyro_peak_angular_vel_norm_ema5,0.0084415525
s5_emg_mav_norm_ema5,0.008368329
loadshare_gyro_1,0.008326283
s1_gyro_peak_angular_vel_norm_lag1,0.008012693
s7_gyro_peak_angular_vel_norm,0.007887412
s7_acc_z_rms_norm_absd1,0.007855107
s4_acc_z_rms_norm_absd1,0.007836118
s1_acc_z_rms_norm_lag1,0.007532864
s6_gyro_peak_angular_vel_norm,0.0075140605
s3_acc_z_rms_norm_ema5,0.007400911
ctrl_ratio_7,0.007394706
s6_acc_z_rms_norm,0.007135908
s3_emg_mav_norm_rs5,0.006938073
s8_gyro_peak_angular_vel_norm,0.006814987
inter_sym_ctrl_15,0.006787552
loadshare_emg_1,0.0065980298
s2_gyro_peak_angular_vel_norm,0.006574434
s6_acc_z_rms_norm_lag2,0.0065340893
s4_acc_z_rms_norm_lag3,0.006527958
s2_acc_z_rms_norm_absd1,0.006513097
s2_emg_mav_norm_rs5,0.006504636
sym_ratio_emg_48_symdelta,0.0063932333
s8_acc_z_rms_norm_absd1,0.006305653
loadshare_emg_7,0.0062780874
s6_emg_mav_norm_rm5,0.006163915
s1_gyro_z_rms,0.006102253
s8_emg_mav_norm,0.006071021
s8_acc_z_rms_norm_lag4,0.0060685207
s5_gyro_peak_angular_vel_norm_ema5,0.0058899806
s4_acc_z_rms_norm_lag2,0.00573486
s5_gyro_peak_angular_vel_norm_absd1,0.0055941315
loadshare_gyro_6,0.0055231485
s7_emg_mav_norm,0.0055053155
s2_emg_mav_norm_delta1,0.005441681
sym_ratio_emg_26_rrange5,0.005434426
s3_acc_z_rms_norm_lag3,0.005429419
lrshare_gyro,0.0053892722
s6_acc_z_rms_norm_lag3,0.005359901
s3_gyro_peak_angular_vel_norm_ema5,0.0053335326
s6_acc_z_rms_norm_lag1,0.0052130404
loadshare_gyro_7,0.0052084783
s1_gyro_peak_angular_vel_norm_lag2,0.005176332
s3_acc_z_rms_norm_lag4,0.005132275
s1_emg_mav_norm_ema5,0.0049264105
s3_gyro_peak_angular_vel_norm_lag1,0.0049005365
s1_emg_mav_norm_rm5,0.004885321
