level,accuracy,macro_f1,balanced_accuracy,n_samples,inference_latency_ms
window,0.7195400548279013,0.7073229510017598,0.7118051394116971,13132,0.018981312821581484
trial,0.7237569060773481,0.7212983493471299,0.7290566037735848,362,0.018981312821581484
