level,class_id,precision,recall,f1,support
window,0,0.6181253425909008,0.679863344051447,0.6475260790506269,4976
window,1,0.7920094007050529,0.7437469347719471,0.7671198229528928,8156
trial,0,0.6404494382022472,0.76,0.6951219512195121,150
trial,1,0.8043478260869565,0.6981132075471698,0.7474747474747475,212
